settlement_id	languages	names_ara_common	names_ara_common_other	names_ara_search	names_ara_translit	names_ara_translit_other	names_eng_common	names_eng_common_other	names_eng_search	names_eng_translit	names_eng_translit_other	region_URI	source	top_type	coordinates
ROUTPOINT1218_052E365N_O	['ara', 'eng']	RoutPoint1218	RoutPoint1218	RoutPoint1218					RoutPoint1218	RoutPoint1218	RoutPoint1218	Maghrib_RE	cornuData	xroads	[5.26284, 36.58463]
ROUTPOINT0505_507E348N_O	['ara', 'eng']	RoutPoint0505	RoutPoint0505	RoutPoint0505					RoutPoint0505	RoutPoint0505	RoutPoint0505	Jibal_RE	cornuData	xroads	[50.71791, 34.85236]
ROUTPOINT0504_511E352N_O	['ara', 'eng']	RoutPoint0504	RoutPoint0504	RoutPoint0504					RoutPoint0504	RoutPoint0504	RoutPoint0504	Jibal_RE	cornuData	xroads	[51.10802, 35.28295]
ROUTPOINT0512_516E352N_O	['ara', 'eng']	RoutPoint0512	RoutPoint0512	RoutPoint0512					RoutPoint0512	RoutPoint0512	RoutPoint0512	Mafaza_RE	cornuData	xroads	[51.65, 35.24938]
ROUTPOINT0508_516E326N_O	['ara', 'eng']	RoutPoint0508	RoutPoint0508	RoutPoint0508					RoutPoint0508	RoutPoint0508	RoutPoint0508	Jibal_RE	cornuData	xroads	[51.66347, 32.61096]
ROUTPOINT0506_517E327N_O	['ara', 'eng']	RoutPoint0506	RoutPoint0506	RoutPoint0506					RoutPoint0506	RoutPoint0506	RoutPoint0506	Jibal_RE	cornuData	xroads	[51.71485, 32.79657]
ROUTPOINT0603_517E316N_O	['ara', 'eng']	RoutPoint0603	RoutPoint0603	RoutPoint0603					RoutPoint0603	RoutPoint0603	RoutPoint0603	Fars_RE	cornuData	xroads	[51.76804, 31.6566]
ROUTPOINT1604_518E356N_O	['ara', 'eng']	RoutPoint1604	RoutPoint1604	RoutPoint1604					RoutPoint1604	RoutPoint1604	RoutPoint1604	NoRegion	cornuData	xroads	[51.83058, 35.6923]
ROUTPOINT1617_523E364N_O	['ara', 'eng']	RoutPoint1617	RoutPoint1617	RoutPoint1617					RoutPoint1617	RoutPoint1617	RoutPoint1617	Daylam_RE	cornuData	xroads	[52.31039, 36.42534]
ROUTPOINT0608_529E326N_O	['ara', 'eng']	RoutPoint0608	RoutPoint0608	RoutPoint0608					RoutPoint0608	RoutPoint0608	RoutPoint0608	Mafaza_RE	cornuData	xroads	[52.92404, 32.69885]
